AGNO,RBD,NOM_RBD,COD_REG_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,RURAL_RBD,ESTADO_ESTAB,COD_ENSE,COD_ENSE2,COD_ENSE3,COD_GRADO,COD_GRADO2,LET_CUR,COD_JOR,MRUN,GEN_ALU,FEC_NAC_ALU,EDAD_ALU,EJEMPLO
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,B,3,2825470,1,200312,15,"3,5"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,B,3,4157097,2,200506,14,"3,7"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,B,3,6030614,2,200603,13,"3,0"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,B,3,7691971,1,200304,16,"3,4"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,B,3,10497012,2,200403,15,"3,7"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,B,3,10943988,1,200212,16,"3,8"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,B,3,11325931,1,200401,15,"3,2"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,B,3,12479364,1,200309,15,"3,9"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,B,3,12495152,2,200501,14,"3,3"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,B,3,13602820,2,200511,13,"3,3"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,B,3,14171033,2,200601,13,"3,2"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,B,3,14619753,1,200207,16,"3,3"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,B,3,14917397,1,200408,14,"3,6"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,B,3,15458358,2,200403,15,"3,1"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,B,3,15994586,2,200303,16,"3,6"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,B,3,16155975,1,200512,13,"3,8"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,B,3,18728286,1,200512,13,"3,0"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,B,3,21579356,1,200603,13,"3,1"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,B,3,22110590,2,200511,13,"3,8"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,B,3,22613156,2,200506,14,"3,2"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,B,3,22982814,2,200410,14,"3,4"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,B,3,24288948,1,200412,14,"3,8"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,B,3,25819584,1,200412,14,"3,4"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,A,3,2981655,2,200412,14,"5,3"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,A,3,3411421,1,200412,14,"5,1"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,A,3,7198001,2,200407,14,"5,4"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,A,3,8375048,1,200411,14,"5,0"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,A,3,8419405,1,200301,16,"5,9"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,A,3,8688062,1,200501,14,"5,2"
